Outgroup,A,B,f3
Altai,Mbuti,Mbuti,552.889
Altai,Mbuti,Karitiana,517.670
Altai,Mbuti,ANE,514.649
Altai,Mbuti,Dai,517.472
Altai,Mbuti,Onge,516.593
Altai,Karitiana,Karitiana,841.196
Altai,Karitiana,ANE,701.291
Altai,Karitiana,Dai,709.020
Altai,Karitiana,Onge,686.130
Altai,ANE,ANE,892.109
Altai,ANE,Dai,671.714
Altai,ANE,Onge,667.689
Altai,Dai,Dai,736.341
Altai,Dai,Onge,691.766
Altai,Onge,Onge,786.346
